Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0073,136.329173,Kenya Shilling
Average,2012-12-31,2013-12-31,0.0074,134.673415,Kenya Shilling
Average,2012-03-31,2013-03-31,0.0074,134.697884,Kenya Shilling
Average,2011-12-31,2012-12-31,0.0075,133.743897,Kenya Shilling
Average,2011-03-31,2012-03-31,0.0068,146.097868,Kenya Shilling
Average,2010-12-31,2011-12-31,0.007,142.140686,Kenya Shilling
Average,2010-03-31,2011-03-31,0.008,124.986,Kenya Shilling
Average,2009-12-31,2010-12-31,0.0082,122.237,Kenya Shilling
Average,2009-03-31,2010-03-31,0.0082006,121.942,Kenya Shilling
Average,2008-12-31,2009-12-31,0.0082749,120.848,Kenya Shilling
Average,2008-03-31,2009-03-31,0.0081804,122.243,Kenya Shilling
Average,2007-12-31,2008-12-31,0.0078784,126.93,Kenya Shilling
Average,2007-03-31,2008-03-31,0.007463,134.00,Kenya Shilling
Average,2006-12-31,2007-12-31,0.007425,134.68,Kenya Shilling
Average,2006-03-31,2007-03-31,0.00739109,135.298,Kenya Shilling
Average,2005-12-31,2006-12-31,0.0075423,132.9039,Kenya Shilling
Average,2005-03-31,2006-03-31,0.007525,132.8881,Kenya Shilling
Average,2004-12-31,2005-12-31,0.007284,137.2843,Kenya Shilling
Average,2004-03-31,2005-03-31,0.0068525,145.9332,Kenya Shilling
Average,2003-12-31,2004-12-31,0.0068827,145.2923,Kenya Shilling
Average,2003-03-31,2004-03-31,0.007767,128.7432,Kenya Shilling
Average,2002-12-31,2003-12-31,0.008044,124.3147,Kenya Shilling
Average,2002-03-31,2003-03-31,0.00824,121.3613,Kenya Shilling
Average,2001-12-31,2002-12-31,0.00844,118.4879,Kenya Shilling
Average,2001-03-28,2002-03-28,0.0088791968,112.6228,Kenya Shilling
Average,2000-12-31,2001-12-31,0.0088339067,113.2002,Kenya Shilling
Average,2000-03-31,2001-03-31,0.0087205627,114.6715,Kenya Shilling
Average,1999-12-29,2000-12-29,0.0086665101,115.3867,Kenya Shilling
Average,1999-03-31,2000-03-31,0.0084952529,117.7128,Kenya Shilling
Average,1998-12-30,1999-12-30,0.0087600576,114.1545,Kenya Shilling
Average,1998-03-31,1999-03-31,0.0099155,100.8518,Kenya Shilling
Average,1997-12-31,1998-12-31,0.0099827,100.1734,Kenya Shilling
Average,1997-03-31,1998-03-31,0.010132,98.695,Kenya Shilling
Average,1996-12-30,1997-12-30,0.010413,96.0346,Kenya Shilling
Average,1996-03-31,1997-03-31,0.011194,89.3362,Kenya Shilling
Average,1995-12-31,1996-12-31,0.01122,89.1287,Kenya Shilling
Average,1995-03-31,1996-03-31,0.011642,85.8975,Kenya Shilling
Average,1994-12-30,1995-12-30,0.012294,81.3403,Kenya Shilling
Average,1994-03-31,1995-03-31,0.012837,77.8982,Kenya Shilling
Average,1993-12-30,1994-12-30,0.01172,85.3255,Kenya Shilling
Average,1993-03-30,1994-03-30,0.010168,98.352,Kenya Shilling
Average,1992-12-31,1993-12-31,0.011233,89.0226,Kenya Shilling
Average,1992-03-31,1993-03-31,0.0168418,59.376,Kenya Shilling
Average,1991-12-31,1992-12-31,0.0176647,56.610,Kenya Shilling
Average,1991-03-31,1992-03-31,0.0202429,49.400,Kenya Shilling
Average,1990-12-31,1991-12-31,0.0206782,48.360,Kenya Shilling
Average,1990-03-31,1991-03-31,0.022344,44.754,Kenya Shilling
Average,1989-12-31,1990-12-31,0.024615,40.626,Kenya Shilling
Average,1989-03-31,1990-03-31,0.028690,34.855,Kenya Shilling
Average,1988-12-31,1989-12-31,0.030040,33.289,Kenya Shilling
