Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.5434,1.8401,Canadian Dollar
Average,2013-03-31,2014-03-31,0.5998,1.667123,Canadian Dollar
Average,2012-12-31,2013-12-31,0.5682,1.7598,Canadian Dollar
Average,2012-12-31,2013-12-31,0.622,1.607662,Canadian Dollar
Average,2012-03-31,2013-03-31,0.6456,1.5489,Canadian Dollar
Average,2012-03-31,2013-03-31,0.6318,1.582757,Canadian Dollar
Average,2011-12-31,2012-12-31,0.6179,1.6185,Canadian Dollar
Average,2011-12-31,2012-12-31,0.6315,1.583601,Canadian Dollar
Average,2011-03-31,2012-03-31,0.6262,1.5969,Canadian Dollar
Average,2011-03-31,2012-03-31,0.632,1.582388,Canadian Dollar
Spot,,2011-12-31,0.6319,1.5825,Canadian Dollar
Average,2010-12-31,2011-12-31,0.6312,1.584378,Canadian Dollar
Spot,,2011-03-31,0.6413,1.5593,Canadian Dollar
Average,2010-03-31,2011-03-31,0.6326,1.5808,Canadian Dollar
Spot,,2010-12-31,0.6428,1.5557,Canadian Dollar
Average,2009-12-31,2010-12-31,0.6272,1.5942,Canadian Dollar
Spot,,2010-03-31,0.64977,1.5390,Canadian Dollar
Average,2009-03-31,2010-03-31,0.57478,1.7398,Canadian Dollar
Spot,,2009-12-31,0.59067,1.6930,Canadian Dollar
Average,2008-12-31,2009-12-31,0.56177,1.7801,Canadian Dollar
Spot,,2009-03-31,0.55451,1.8034,Canadian Dollar
Average,2008-03-31,2009-03-31,0.52323,1.9112,Canadian Dollar
Spot,,2008-12-31,0.56341,1.7749,Canadian Dollar
Average,2007-12-31,2008-12-31,0.50981,1.9615,Canadian Dollar
Spot,,2008-03-31,0.490364,2.0393,Canadian Dollar
Average,2007-03-31,2008-03-31,0.482501,2.0725,Canadian Dollar
Spot,,2007-12-31,0.509009,1.9646,Canadian Dollar
Average,2006-12-31,2007-12-31,0.465473,2.1484,Canadian Dollar
Spot,,2007-03-30,0.44194988,2.2627,Canadian Dollar
Average,2006-03-31,2007-03-31,0.4636713,2.1567,Canadian Dollar
Spot,,2006-12-29,0.43905866,2.2776,Canadian Dollar
Average,2005-12-31,2006-12-31,0.47844601,2.0901,Canadian Dollar
Spot,,2006-03-31,0.494193,2.0235,Canadian Dollar
Average,2005-03-31,2006-03-31,0.46300941,2.1598,Canadian Dollar
Spot,,2005-12-30,0.498654,2.0054,Canadian Dollar
Average,2004-12-31,2005-12-31,0.45324752,2.2063,Canadian Dollar
Spot,,2005-03-31,0.437426,2.2861,Canadian Dollar
Average,2004-03-31,2005-03-31,0.4242141,2.3573,Canadian Dollar
Spot,,2004-12-31,0.4347259,2.3003,Canadian Dollar
Average,2003-12-31,2004-12-31,0.4194631,2.384,Canadian Dollar
Spot,,2004-03-31,0.414010102,2.4154,Canadian Dollar
Average,2003-03-31,2004-03-31,0.436815,2.2893,Canadian Dollar
Spot,,2003-12-31,0.432282886,2.3133,Canadian Dollar
Average,2002-12-31,2003-12-31,0.437044,2.2881,Canadian Dollar
Spot,,2003-03-31,0.430089,2.3251,Canadian Dollar
Average,2002-03-31,2003-03-31,0.417449,2.3955,Canadian Dollar
Spot,,2002-12-31,0.3931899,2.5433,Canadian Dollar
Average,2001-12-31,2002-12-31,0.423998,2.3585,Canadian Dollar
Spot,,2002-03-28,0.4401602183,2.2719,Canadian Dollar
Average,2001-03-28,2002-03-28,0.4461895413,2.2412,Canadian Dollar
Spot,,2001-12-31,0.4304407713,2.3232,Canadian Dollar
Average,2000-12-31,2001-12-31,0.4484304933,2.23,Canadian Dollar
Spot,,2001-03-30,0.4467077638,2.2386,Canadian Dollar
Average,2000-03-31,2001-03-31,0.4496807267,2.2238,Canadian Dollar
Spot,,2000-12-29,0.4456923831,2.2437,Canadian Dollar
Average,1999-12-29,2000-12-29,0.4443457010,2.2505,Canadian Dollar
Spot,,2000-03-31,0.4317602867,2.3161,Canadian Dollar
Average,1999-03-31,2000-03-31,0.4218341348,2.3706,Canadian Dollar
Spot,,1999-12-31,0.4275148561,2.3391,Canadian Dollar
Average,1998-12-30,1999-12-30,0.4159560750,2.4041,Canadian Dollar
Spot,,1999-03-31,0.409483,2.4421,Canadian Dollar
Average,1998-03-31,1999-03-31,0.40204,2.4873,Canadian Dollar
Spot,,1998-12-31,0.391313,2.5555,Canadian Dollar
Average,1997-12-31,1998-12-31,0.40670,2.4588,Canadian Dollar
Spot,,1998-03-31,0.419903,2.3815,Canadian Dollar
Average,1997-03-31,1998-03-31,0.43425,2.3028,Canadian Dollar
Spot,,1997-12-31,0.4247005,2.3546,Canadian Dollar
Average,1996-12-30,1997-12-30,0.44113,2.2669,Canadian Dollar
Spot,,1997-03-31,0.440858,2.2683,Canadian Dollar
Average,1996-03-31,1997-03-31,0.46324,2.1587,Canadian Dollar
Spot,,1996-12-31,0.4263301,2.3456,Canadian Dollar
Average,1995-12-31,1996-12-31,0.46964,2.1293,Canadian Dollar
Spot,,1996-03-31,0.4808154,2.0798,Canadian Dollar
Average,1995-03-31,1996-03-31,0.468604,2.134,Canadian Dollar
Spot,,1995-12-30,0.472255,2.1175,Canadian Dollar
Average,1994-12-30,1995-12-30,0.461553,2.1666,Canadian Dollar
Spot,,1995-03-31,0.4657675,2.2848,Canadian Dollar
Average,1994-03-31,1995-03-31,0.4652461,2.1494,Canadian Dollar
Spot,,1994-12-30,0.4556846,2.1945,Canadian Dollar
Average,1993-12-30,1994-12-30,0.478034,2.0919,Canadian Dollar
Spot,,1994-03-30,0.490605,2.0383,Canadian Dollar
Average,1993-03-30,1994-03-30,0.507408,1.9708,Canadian Dollar
Spot,,1993-12-31,0.510517,1.9588,Canadian Dollar
Average,1992-12-31,1993-12-31,0.515996,1.938,Canadian Dollar
Spot,,1993-03-31,0.5567468,1.829,Canadian Dollar
Average,1992-03-31,1993-03-31,0.4818116,2.0755,Canadian Dollar
Spot,,1992-12-31,0.5768676,1.7335,Canadian Dollar
Average,1991-12-31,1992-12-31,0.4549176,2.1982,Canadian Dollar
Spot,,1992-03-31,0.4840271,2.0660,Canadian Dollar
Average,1991-03-31,1992-03-31,0.4841677,2.0654,Canadian Dollar
Spot,,1991-12-31,0.4624770,2.1626,Canadian Dollar
